order_purchase_timestamp,total_order_value,number_of_items_sold,number_of_customers
2016-09-04,72.89,2,1
2016-09-05,59.5,1,1
2016-09-13,0.0,0,1
2016-09-15,134.97,3,1
2016-10-02,100.0,1,1
2016-10-03,463.48,8,8
2016-10-04,9940.95999999999,69,63
2016-10-05,8343.249999999995,56,47
2016-10-06,7960.509999999992,58,51
2016-10-07,7228.049999999996,52,46
2016-10-08,8841.839999999997,46,42
2016-10-09,3336.9900000000002,34,26
2016-10-10,3819.2599999999998,44,39
2016-10-22,0.0,0,1
2016-12-23,10.9,1,1
2017-01-05,396.8999999999998,32,32
2017-01-06,916.38,4,4
2017-01-07,1351.9,5,4
2017-01-08,709.5799999999999,6,6
2017-01-09,673.79,6,5
2017-01-10,1434.87,6,6
2017-01-11,2776.1600000000003,12,12
2017-01-12,2234.58,15,13
2017-01-13,2505.58,11,12
2017-01-14,1112.6899999999998,18,18
2017-01-15,2349.4700000000007,22,14
2017-01-16,3307.9200000000005,24,19
2017-01-17,3371.430000000001,38,32
2017-01-18,4032.3599999999997,35,33
2017-01-19,3553.9500000000007,35,29
2017-01-20,4035.83,39,29
2017-01-21,2525.5,37,24
2017-01-22,3619.2700000000013,33,31
2017-01-23,6581.469999999992,54,39
2017-01-24,5955.17,44,40
2017-01-25,8977.229999999996,69,63
2017-01-26,13536.999999999985,107,86
2017-01-27,11432.949999999988,76,62
2017-01-28,5211.01,30,29
2017-01-29,6457.659999999998,47,35
2017-01-30,10801.129999999994,75,53
2017-01-31,11226.119999999988,86,70
2017-02-01,8219.749999999993,70,73
2017-02-02,8917.639999999994,75,69
2017-02-03,10183.73999999999,62,60
2017-02-04,13968.159999999989,72,67
2017-02-05,8503.789999999995,83,75
2017-02-06,9539.439999999988,88,85
2017-02-07,14263.07999999998,131,112
2017-02-08,11958.269999999991,99,95
2017-02-09,9410.289999999988,83,77
2017-02-10,14222.639999999996,74,66
2017-02-11,4307.560000000001,51,49
2017-02-12,15126.149999999996,66,64
2017-02-13,10785.149999999996,88,78
2017-02-14,13133.909999999985,82,76
2017-02-15,6770.149999999994,63,62
2017-02-16,6348.039999999997,57,55
2017-02-17,6801.259999999992,56,46
2017-02-18,7493.129999999991,65,54
2017-02-19,3797.9,44,40
2017-02-20,7878.299999999996,72,63
2017-02-21,8285.639999999994,47,41
2017-02-22,8317.849999999997,70,63
2017-02-23,6940.819999999993,73,59
2017-02-24,6682.2099999999955,73,64
2017-02-25,4196.589999999998,46,43
2017-02-26,5446.679999999997,52,46
2017-02-27,5844.119999999996,53,43
2017-02-28,11220.75999999999,67,55
2017-03-01,12680.309999999983,115,99
2017-03-02,11376.999999999985,76,72
2017-03-03,12398.639999999989,82,74
2017-03-04,12658.50999999999,86,80
2017-03-05,7174.419999999994,84,74
2017-03-06,10336.639999999989,114,105
2017-03-07,11902.509999999997,99,82
2017-03-08,14612.45999999999,88,79
2017-03-09,11705.53999999998,114,93
2017-03-10,12418.769999999982,100,88
2017-03-11,10852.969999999992,80,71
2017-03-12,6637.059999999996,72,64
2017-03-13,17236.849999999977,120,111
2017-03-14,14243.659999999985,114,99
2017-03-15,15129.229999999987,122,108
2017-03-16,14269.779999999982,127,103
2017-03-17,11970.399999999992,79,65
2017-03-18,16433.819999999992,77,73
2017-03-19,6649.339999999997,59,56
2017-03-20,17096.48999999999,127,119
2017-03-21,11448.929999999986,107,97
2017-03-22,14291.179999999982,125,105
2017-03-23,16375.549999999976,134,114
2017-03-24,10177.869999999992,85,79
2017-03-25,9996.039999999994,88,76
2017-03-26,6320.949999999994,69,64
2017-03-27,16356.969999999985,120,111
2017-03-28,12373.109999999986,116,103
2017-03-29,8660.53999999999,85,74
2017-03-30,10025.599999999991,83,74
2017-03-31,12199.559999999996,73,70
2017-04-01,17697.36999999999,69,68
2017-04-02,9129.879999999994,78,65
2017-04-03,9226.559999999989,89,72
2017-04-04,12301.649999999987,109,96
2017-04-05,19048.739999999987,104,96
2017-04-06,23213.89000000002,111,96
2017-04-07,13300.64999999999,96,85
2017-04-08,8785.089999999993,71,68
2017-04-09,8222.649999999992,78,73
2017-04-10,11732.309999999989,95,87
2017-04-11,8296.509999999993,84,78
2017-04-12,8209.199999999997,66,63
2017-04-13,9691.429999999993,64,60
2017-04-14,8168.659999999995,60,54
2017-04-15,8333.939999999997,55,52
2017-04-16,5726.959999999998,53,49
2017-04-17,9416.669999999991,68,65
2017-04-18,21286.720000000012,84,71
2017-04-19,12186.819999999987,113,97
2017-04-20,13549.129999999983,116,98
2017-04-21,8457.709999999992,77,68
2017-04-22,12880.169999999987,95,84
2017-04-23,10038.94999999999,91,88
2017-04-24,15150.029999999988,135,115
2017-04-25,14671.73999999998,123,111
2017-04-26,15919.74999999997,143,125
2017-04-27,10300.709999999992,101,80
2017-04-28,15790.489999999987,108,98
2017-04-29,11912.629999999988,86,74
2017-04-30,8091.159999999995,71,68
2017-05-01,12696.209999999983,135,117
2017-05-02,17640.199999999997,136,128
2017-05-03,10053.559999999987,111,103
2017-05-04,13588.539999999986,123,109
2017-05-05,13969.759999999978,123,111
2017-05-06,16354.879999999983,130,109
2017-05-07,17216.66999999999,122,111
2017-05-08,16148.409999999982,143,124
2017-05-09,20947.04000000004,155,128
2017-05-10,21192.280000000046,127,116
2017-05-11,18164.54999999999,138,126
2017-05-12,13000.009999999986,126,115
2017-05-13,9131.639999999992,82,73
2017-05-14,15219.699999999984,129,112
2017-05-15,18014.029999999988,173,157
2017-05-16,21533.480000000018,176,153
2017-05-17,18361.830000000005,158,141
2017-05-18,18245.129999999994,140,125
2017-05-19,19123.57,178,144
2017-05-20,10632.409999999989,80,72
2017-05-21,17510.900000000005,167,148
2017-05-22,25901.19000000003,169,148
2017-05-23,17798.379999999994,146,125
2017-05-24,23579.87000000006,162,142
2017-05-25,15383.789999999977,120,108
2017-05-26,10651.17999999999,93,80
2017-05-27,14559.509999999987,95,83
2017-05-28,9262.619999999986,106,98
2017-05-29,18974.660000000007,179,160
2017-05-30,14345.479999999981,118,105
2017-05-31,20438.14999999999,142,129
2017-06-01,19334.150000000012,137,124
2017-06-02,19261.32000000001,136,127
2017-06-03,10450.349999999988,101,89
2017-06-04,13863.229999999989,106,102
2017-06-05,24494.53000000005,166,147
2017-06-06,14719.039999999972,158,134
2017-06-07,12792.659999999987,133,129
2017-06-08,19061.470000000016,154,137
2017-06-09,16091.349999999986,128,108
2017-06-10,8220.349999999993,83,77
2017-06-11,15198.45999999999,129,115
2017-06-12,14803.10999999998,149,126
2017-06-13,14064.089999999978,142,126
2017-06-14,20528.66000000002,150,131
2017-06-15,13062.509999999982,127,108
2017-06-16,12928.219999999987,106,97
2017-06-17,11264.769999999991,84,75
2017-06-18,18005.16,104,90
2017-06-19,23064.720000000027,181,156
2017-06-20,10968.329999999985,107,94
2017-06-21,6183.65,38,35
2017-06-22,8897.549999999987,99,88
2017-06-23,13282.979999999985,117,107
2017-06-24,8325.64999999999,81,76
2017-06-25,17876.170000000006,118,105
2017-06-26,13564.559999999989,85,72
2017-06-27,16681.609999999986,153,141
2017-06-28,14655.819999999982,128,120
2017-06-29,12169.529999999982,122,114
2017-06-30,12736.88999999999,97,95
2017-07-01,12207.649999999992,95,80
